model_name,accuracy,precision,recall,f1_score,roc_auc
LogisticRegression_Recall,0.7381121362668559,0.5041876046901173,0.8048128342245989,0.619979402677652,0.8400036167299594
SVM_Recall,0.7508871540099361,0.5234215885947047,0.6871657754010695,0.5942196531791908,0.7969516133198997
RandomForest_Recall,0.7679205110007097,0.549266247379455,0.7005347593582888,0.6157461809635723,0.8382869616884961
XGBoost_Recall,0.6784953867991483,0.447682119205298,0.9037433155080213,0.5987599645704162,0.8426257459505542
